study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_conductance-fb5b76f07d,pospischil2008_rs,1,P00_canonical,ap_half_width,definedness,0.6999999999993634,,,0.05,r-3c4719e59bf2e9991e12,r-ed9386bb70440ebe36c2
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_conductance-fb5b76f07d,pospischil2008_rs,1,P00_canonical,firing_regime,categorical,adapting,silent,,,r-3c4719e59bf2e9991e12,r-ed9386bb70440ebe36c2
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_conductance-fb5b76f07d,pospischil2008_rs,1,P00_canonical,first_isi,definedness,28.06999999997447,,,0.5613999999994894,r-3c4719e59bf2e9991e12,r-ed9386bb70440ebe36c2
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_conductance-fb5b76f07d,pospischil2008_rs,1,P00_canonical,mean_frequency,definedness,17.03113291098414,,,0.8515566455492071,r-3c4719e59bf2e9991e12,r-ed9386bb70440ebe36c2
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_conductance-fb5b76f07d,pospischil2008_rs,1,P04_step_2x,ap_half_width,definedness,0.6999999999993634,,,0.05,r-d38646e1b306607cd46b,r-c8c3caf949217231b9fa
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_conductance-fb5b76f07d,pospischil2008_rs,1,P04_step_2x,burst_count,definedness,1.0,,,0.5,r-d38646e1b306607cd46b,r-c8c3caf949217231b9fa
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_conductance-fb5b76f07d,pospischil2008_rs,1,P04_step_2x,firing_regime,categorical,tonic,silent,,,r-d38646e1b306607cd46b,r-c8c3caf949217231b9fa
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_conductance-fb5b76f07d,pospischil2008_rs,1,P04_step_2x,first_isi,definedness,13.069999999988113,,,0.5,r-d38646e1b306607cd46b,r-c8c3caf949217231b9fa
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_conductance-fb5b76f07d,pospischil2008_rs,1,P04_step_2x,mean_frequency,definedness,44.11292909854356,,,2.205646454927178,r-d38646e1b306607cd46b,r-c8c3caf949217231b9fa
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_conductance-fb5b76f07d,pospischil2008_rs,1,P07_hyperpolarizing_step,minimum_voltage,exceeds,-89.46293640136719,-79.84996795654297,9.612968444824219,0.5,r-d38646e1b306607cd46b,r-c8c3caf949217231b9fa
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_conductance-fb5b76f07d,pospischil2008_rs,1,P07_hyperpolarizing_step,voltage_deflection,exceeds,-18.820051715088113,-9.465594504293023,9.35445721079509,0.9410025857544057,r-d38646e1b306607cd46b,r-c8c3caf949217231b9fa
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_conductance-fb5b76f07d,pospischil2008_rs,2,P00_canonical,ap_half_width,definedness,0.6999999999993634,,,0.05,r-d4ef4781c8007010e9af,r-cde70cf4f08685578de9
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_conductance-fb5b76f07d,pospischil2008_rs,2,P00_canonical,firing_regime,categorical,adapting,silent,,,r-d4ef4781c8007010e9af,r-cde70cf4f08685578de9
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_conductance-fb5b76f07d,pospischil2008_rs,2,P00_canonical,first_isi,definedness,28.029999999974507,,,0.5613999999994894,r-d4ef4781c8007010e9af,r-cde70cf4f08685578de9
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_conductance-fb5b76f07d,pospischil2008_rs,2,P00_canonical,mean_frequency,definedness,17.059606264310375,,,0.8515566455492071,r-d4ef4781c8007010e9af,r-cde70cf4f08685578de9
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_conductance-fb5b76f07d,pospischil2008_rs,2,P04_step_2x,ap_half_width,definedness,0.6999999999993634,,,0.05,r-e63ab2df48d3a768b131,r-ecc3c0800347ba3b8a3e
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_conductance-fb5b76f07d,pospischil2008_rs,2,P04_step_2x,burst_count,definedness,1.0,,,0.5,r-e63ab2df48d3a768b131,r-ecc3c0800347ba3b8a3e
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_conductance-fb5b76f07d,pospischil2008_rs,2,P04_step_2x,firing_regime,categorical,tonic,silent,,,r-e63ab2df48d3a768b131,r-ecc3c0800347ba3b8a3e
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL_REHEARSAL,Infrastructure rehearsal of the analysis pipeline on a Pilot 1 model; not study data; never reported as a result and never pooled with anything,m-scale_conductance-fb5b76f07d,pospischil2008_rs,2,P04_step_2x,first_isi,definedness,12.92999999998824,,,0.5,r-e63ab2df48d3a768b131,r-ecc3c0800347ba3b8a3e
