study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-44150b501c,acnet2_pyr_soma,1,P03_rheobase,rheobase,exceeds,0.007615600027320539,0.006522778498736425,0.0010928215285841139,0.00015231200054641078,s-f72e8dc74d5f026206e4,s-e3cc3fb5381901f1cd1e
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-44150b501c,acnet2_pyr_soma,1,P04_step_2x,first_spike_latency,exceeds,25.40999999984905,24.359999999850004,1.049999999999045,0.508199999996981,r-85c49aecb0e07f4c5069,r-fb5a54a6f1afdd735a28
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-44150b501c,acnet2_pyr_soma,1,P04_step_2x,last_isi,exceeds,451.11999999958977,430.33999999960866,20.7799999999811,9.022399999991796,r-85c49aecb0e07f4c5069,r-fb5a54a6f1afdd735a28
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-44150b501c,acnet2_pyr_soma,1,P05_long_step,first_spike_latency,exceeds,37.16999999983835,34.1499999998411,3.0199999999972533,0.7433999999967671,r-f6700284baa99a5ef41f,r-ffd228d54d4607adfcbf
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-44150b501c,acnet2_pyr_soma,1,P05_long_step,last_isi,exceeds,586.8900000005651,506.879999999539,80.01000000102613,11.737800000011303,r-f6700284baa99a5ef41f,r-ffd228d54d4607adfcbf
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-44150b501c,acnet2_pyr_soma,1,P06_ramp,first_spike_latency,exceeds,501.13999999941643,428.54999999948245,72.58999999993398,10.02279999998833,r-ee8bcdd517fb72ba8d0c,r-71719fbf3aad64f53526
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-44150b501c,acnet2_pyr_soma,1,P07_hyperpolarizing_step,steady_state_voltage,exceeds,-70.81424023132327,-71.75014665069583,0.9359064193725573,0.5,r-85c49aecb0e07f4c5069,r-fb5a54a6f1afdd735a28
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-44150b501c,acnet2_pyr_soma,1,P09_short_pulse,ahp_depth,definedness,,-6.935772814432781,,inf,r-195ba3020e76bc4e3add,r-658adbba6cdd718372f7
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-44150b501c,acnet2_pyr_soma,1,P09_short_pulse,ap_amplitude,definedness,,97.94194030767557,,inf,r-195ba3020e76bc4e3add,r-658adbba6cdd718372f7
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-44150b501c,acnet2_pyr_soma,1,P09_short_pulse,first_spike_latency,definedness,,27.879999999846802,,inf,r-195ba3020e76bc4e3add,r-658adbba6cdd718372f7
